order_id,customer_id,order_date,product_category,quantity,unit_price,region,is_returned,total_value
48e17b5a-6e23-441a-b0ac-d5bab9677d39,2451,2024-01-27,Electronics,5,348.7,Asia,False,1743.5
c8344e87-6945-4ada-b7b2-e06321f14eb3,2685,2023-07-01,Electronics,10,255.18,Asia,False,2551.8
485dcd5c-94c8-43e6-af1a-3fe3c40e401b,4564,2023-03-21,Groceries,6,494.19,North America,False,2965.14
7202a2d1-820d-488b-bf43-fb17a6ce2c7c,1602,2024-04-12,Groceries,1,357.17,South America,False,357.17
9da2789a-13d8-496e-8291-600c554db2ea,4110,2024-05-08,Electronics,10,51.87,Africa,False,518.7
8de31e9b-5654-4fc7-a9ae-e8db6b5076b3,3518,2024-03-05,Electronics,9,493.84,Europe,False,4444.56
fc58977a-a0d3-42eb-afff-d999bbd3791a,2899,2023-11-26,Groceries,10,350.4,North America,True,3504.0
a17aa2df-5fcb-4a64-b815-c5354a5b794e,3974,2023-10-14,Groceries,10,463.34,Europe,False,4633.4
0fc25b33-871f-41d6-a574-64420e85e088,2481,2023-02-14,Books,9,97.51,Asia,True,877.59
9beea97b-9322-4888-b3b7-070f46c88e40,1367,2023-10-08,Home Appliances,8,136.62,Asia,False,1092.96
369b67f8-2cac-4652-b6db-78542107127b,2499,2024-02-24,Groceries,2,433.59,Africa,False,867.18
61eba5aa-61f8-4234-bc02-16464b596a90,4513,2024-12-29,Books,8,401.11,Africa,False,3208.88
758ac6d7-a8f6-448a-b23c-da90499cfba9,1313,2024-10-04,Electronics,5,226.91,Europe,False,1134.55
2a4b04ec-f3fb-4b0f-ac18-62cb94df7be9,3173,2024-09-10,Books,9,453.43,South America,False,4080.87
2f8c8b25-0ffb-49a9-a075-8ebc50bd87bf,4749,2024-04-25,Toys,1,258.16,North America,False,258.16
18d21271-de63-4d3b-9cd6-77b22d2f4afa,1857,2023-10-29,Toys,7,208.06,North America,False,1456.42
4907b639-12c4-4a9d-a5ba-c1fd8fc598c4,1058,2024-03-27,Groceries,9,345.47,South America,False,3109.23
135a4fc9-9782-4b6d-916c-1125403e7a80,4611,2024-12-04,Clothing,6,316.22,Africa,False,1897.32
5c4ba897-0188-41ca-b58a-5456dcf948e0,2612,2024-04-22,Toys,5,21.96,South America,False,109.8
1fe40a88-4c4e-4c4b-8f87-1ab09f9e48a0,2624,2024-11-12,Home Appliances,4,204.03,North America,False,816.12
8e3ec724-b66b-4e05-aa3a-3d5f218f193c,1183,2024-04-16,Clothing,7,205.61,Africa,False,1439.27
e3a09881-2061-4141-a187-ceb31ce2b5b6,2819,2024-02-23,Books,10,218.78,Europe,False,2187.8
2aafb1f6-6c2e-45b4-9cd9-ca0933641516,2351,2023-07-22,Books,10,209.09,Europe,False,2090.9
f24cea73-5467-4b34-9317-7c917096692e,4514,2024-08-14,Books,3,118.37,Europe,False,355.11
f7e4244f-7c19-4f0a-8748-aafa0600880b,2633,2024-04-05,Electronics,10,10.59,South America,False,105.9
05f0531a-06e1-4be3-91a3-ced0b38e398b,4935,2023-09-07,Clothing,6,60.55,South America,False,363.3
